,aesthetic,readability,contrast
0,4.3,4.0,3.7
1,3.0,4.7,4.7
2,3.0,3.7,3.3
3,4.0,3.7,3.3
4,3.0,3.7,3.7
5,3.0,4.0,4.3
6,3.7,4.7,4.0
7,3.0,3.0,4.0
8,4.3,4.3,3.7
9,3.7,3.7,4.7
10,4.0,4.3,4.0
11,4.0,4.3,4.3
12,5.0,4.3,4.7
13,5.0,5.0,5.0
14,1.3,2.3,3.0
15,3.3,2.7,4.0
16,3.0,4.7,4.7
17,4.3,5.0,5.0
18,3.0,3.0,3.0
19,2.7,3.3,3.3
20,4.3,3.7,4.3
21,4.0,3.7,4.3
22,3.0,4.0,4.0
23,4.3,4.0,5.0
24,3.0,3.7,3.0
25,4.3,4.0,4.0
26,4.0,4.3,4.7
27,4.0,4.3,4.3
28,3.7,4.7,4.3
29,4.0,4.0,5.0
30,4.0,4.7,4.7
31,3.3,4.3,4.7
32,4.0,5.0,5.0
33,4.0,5.0,5.0
34,4.0,5.0,5.0
35,3.7,5.0,4.0
36,2.3,4.3,3.3
37,4.0,4.7,4.7
38,4.0,5.0,5.0
39,1.3,3.7,3.0
40,4.3,4.3,4.0
41,1.7,2.7,2.7
42,2.3,4.7,5.0
43,4.0,4.3,4.7
44,1.3,5.0,4.3
45,3.7,4.3,4.3
46,4.3,5.0,5.0
47,2.3,4.7,4.7
48,3.7,4.7,4.0
49,3.7,3.7,4.3
50,2.3,2.7,3.7
51,5.0,4.3,4.0
52,3.0,3.7,3.7
53,3.7,4.0,3.7
54,3.3,3.0,3.3
55,2.7,4.3,4.0
56,4.0,3.3,4.0
57,4.0,4.7,4.0
58,4.3,4.3,4.0
59,4.3,4.0,4.0
60,4.3,4.3,4.0
61,2.3,4.7,3.7
62,4.0,5.0,4.0
63,4.3,5.0,4.3
64,4.3,4.0,4.0
65,4.3,4.7,5.0
66,4.7,5.0,5.0
67,5.0,5.0,5.0
68,3.0,4.0,3.7
69,4.0,4.3,4.7
70,2.3,4.7,4.0
71,4.0,5.0,5.0
72,3.3,3.3,2.7
73,3.3,4.3,4.3
74,2.3,4.0,3.7
75,2.7,2.7,4.0
76,3.7,3.3,4.0
77,4.0,4.0,4.0
78,4.3,3.3,3.3
79,4.7,4.7,5.0
80,4.0,4.0,5.0
81,2.0,3.7,4.0
82,4.3,4.3,5.0
83,3.3,5.0,5.0
84,3.7,5.0,4.7
85,4.3,4.7,4.0
86,3.7,4.3,4.0
87,4.0,4.3,4.7
88,3.7,3.3,3.7
89,3.0,3.3,3.7
90,3.0,4.3,4.3
91,4.0,4.7,4.0
92,4.0,4.3,4.3
93,2.3,3.7,3.7
94,3.7,4.0,4.0
95,3.7,4.7,4.7
96,4.0,3.7,3.7
97,4.0,4.7,4.7
98,4.7,4.3,4.3
99,4.7,4.7,4.3
100,3.0,3.0,3.3
101,2.7,3.0,3.3
102,2.7,3.3,3.7
103,2.7,3.0,3.7
104,4.0,4.7,4.3
105,3.7,4.3,3.7
106,4.3,4.0,4.7
107,3.0,3.3,3.7
108,3.3,3.7,3.3
109,2.7,3.3,3.7
110,4.0,3.7,3.3
111,3.7,4.3,4.3
112,4.0,5.0,4.7
113,2.3,3.3,3.7
114,4.3,4.7,4.7
115,4.0,5.0,5.0
116,4.0,5.0,5.0
117,2.3,3.0,3.0
118,3.3,4.0,3.0
119,3.0,4.0,4.3
120,4.3,5.0,4.7
121,3.0,4.0,4.0
122,5.0,5.0,5.0
123,3.7,3.3,4.0
124,3.0,4.0,3.7
125,2.7,4.0,4.0
126,3.7,4.3,4.3
127,3.0,3.0,4.7
128,3.7,4.3,3.7
129,2.0,4.3,3.3
130,3.7,5.0,4.7
131,3.7,5.0,4.7
132,3.0,3.3,4.0
133,4.3,3.7,4.0
134,2.7,4.0,4.0
135,3.7,3.7,3.7
136,2.7,3.0,3.7
137,3.3,4.7,4.0
138,4.0,4.0,4.0
